Ni,Al,Co,Cr,Mo,Re,Ru,Ta,W,Ti,Nb,T,stress,creep_rupture_life
59.64,5.68,9.84,4.75,4.01,3,0,7.66,3.85,1.02,0.55,1100,137,95.2
58.8,5.9,6.5,4.6,1.1,6.4,5,7.6,4,0,0,1150,137,94
66.4,6,4,2,0.4,6.2,0,9,6,0,0,1130,140,94
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1000,310,93.8
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1140,137,93.6
60.89,5.8,10.02,4.84,2.03,3,0,7.82,4,1.04,0.56,1100,137,93.4
51.4,6,14.4,6.2,2.2,3.9,2.6,8,5.3,0,0,950,400,90
54,6,12,5,1,5,3,8,6,0,0,1100,180,87
61.68,6,9,3.5,1.5,4,0,8,6,0.2,0,1100,174,87
55.5,6,12,5,1,5,1.5,8,6,0,0,1000,310,86.5
55.5,6,12,5,1,5,1.5,8,6,0,0,1100,180,77.1
59.64,5.68,9.84,4.75,4.01,3,0,7.66,3.85,1.02,0.55,1100,137,77
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1100,180,74.2
59.79,6,9,4,1.5,5,0,7,7,0,0,1130,140,71
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1140,150,70.9
57,6,12,5,1,5,0,8,6,0,0,1100,180,65.6
62.9,6.2,7.3,4.1,1.5,4.5,0,8,5.5,0,0,1100,140,61
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1100,180,59.6
59.1,5.6,9,4.3,2,4,0,7.5,8,0,0.5,1038,248,57.9
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1140,150,55.7
60.1,5.6,9,4.3,2,3,0,7.5,8,0,0.5,1038,248,49.8
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,170,47.7
56.65,6,12.65,5,1.55,4.5,1.6,6.4,5.65,0,0,1150,100,45.4
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,169,42.1
51.4,6,14.4,6.2,2.2,3.9,2.6,8,5.3,0,0,1100,140,39.6
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1070,210,37.3
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,180,30
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,190,22.8
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1070,250,19.2
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,200,18.3
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,210,14.3
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1070,280,12.3
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,225,9.8
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,220,9.3
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1070,272,8.3
